zipcode,latitude,longitude,city,longitude,zcta,population,population_density,county_name,area_sq_miles
01151,42.15294,-72.50883,Indian Orchard,MA,TRUE,9606,1565.8,Hampden,2.369
01201,42.45614,-73.28114,Pittsfield,MA,TRUE,44848,286.8,Berkshire,60.372
01220,42.62686,-73.11873,Adams,MA,TRUE,8074,136.2,Berkshire,22.889
01222,42.06242,-73.32146,Ashley Falls,MA,TRUE,664,55.8,Berkshire,4.592
01223,42.31118,-73.09835,Becket,MA,TRUE,2495,13.9,Berkshire,69.543
01224,42.50622,-73.19841,Berkshire,MA,TRUE,228,189.2,Berkshire,0.465
01225,42.56385,-73.1512,Cheshire,MA,TRUE,3216,46.3,Berkshire,26.812
01226,42.47954,-73.15329,Dalton,MA,TRUE,6256,111,Berkshire,21.759
01229,42.29411,-73.35227,Glendale,MA,TRUE,263,40.9,Berkshire,2.483
01230,42.18197,-73.34244,Great Barrington,MA,TRUE,8826,35.1,Berkshire,96.977
01235,42.43181,-73.07336,Hinsdale,MA,TRUE,2489,20.6,Berkshire,46.661
01236,42.26923,-73.37999,Housatonic,MA,TRUE,1458,85.1,Berkshire,6.616
01237,42.5529,-73.25373,Lanesborough,MA,TRUE,2302,18,Berkshire,49.31
01238,42.30072,-73.22553,Lee,MA,TRUE,5944,83.1,Berkshire,27.602
01240,42.37567,-73.26466,Lenox,MA,TRUE,5111,82.5,Berkshire,23.913
01242,42.3334,-73.24967,Lenox Dale,MA,TRUE,29,24.4,Berkshire,0.459
01243,42.34752,-73.03467,Middlefield,MA,TRUE,173,4.7,Hampshire,14.287
01244,42.10924,-73.27475,Mill River,MA,TRUE,271,18.2,Berkshire,5.76
01245,42.19043,-73.21579,Monterey,MA,TRUE,692,10.3,Berkshire,25.866
01247,42.69813,-73.09264,North Adams,MA,TRUE,14794,124.4,Berkshire,45.915
01253,42.20751,-73.1118,Otis,MA,TRUE,936,17,Berkshire,21.213
01254,42.37972,-73.36608,Richmond,MA,TRUE,1036,27.7,Berkshire,14.463
01255,42.1068,-73.12213,Sandisfield,MA,TRUE,994,7.6,Berkshire,50.522
01257,42.0976,-73.37241,Sheffield,MA,TRUE,2348,26.7,Berkshire,33.897
01258,42.09396,-73.46616,South Egremont,MA,TRUE,193,3.3,Berkshire,22.252
01259,42.07316,-73.23282,Southfield,MA,TRUE,688,11.6,Berkshire,22.925
01260,42.26663,-73.2712,South Lee,MA,TRUE,20,3,Berkshire,2.587
01262,42.30433,-73.32013,Stockbridge,MA,TRUE,1778,34.8,Berkshire,19.754
01264,42.23997,-73.19686,Tyringham,MA,TRUE,188,5,Berkshire,14.54
01266,42.30264,-73.39846,West Stockbridge,MA,TRUE,1000,19.1,Berkshire,20.21
01267,42.66593,-73.24209,Williamstown,MA,TRUE,9633,62.7,Berkshire,59.307
01270,42.51297,-73.04859,Windsor,MA,TRUE,1036,12.4,Berkshire,32.25
01301,42.62375,-72.60379,Greenfield,MA,TRUE,17876,272.3,Franklin,25.349
01330,42.51772,-72.81556,Ashfield,MA,TRUE,1704,19.1,Franklin,34.473
01331,42.56793,-72.18324,Athol,MA,TRUE,13922,99.2,Worcester,54.161
01337,42.69512,-72.57731,Bernardston,MA,TRUE,2589,26.7,Franklin,37.392
01338,42.5814,-72.80309,Buckland,MA,TRUE,95,28,Franklin,1.31
01339,42.61099,-72.88846,Charlemont,MA,TRUE,1313,8.7,Franklin,58.357
01340,42.68805,-72.73205,Colrain,MA,TRUE,1759,13.1,Franklin,52.034
01341,42.50734,-72.70221,Conway,MA,TRUE,1622,18.7,Franklin,33.561
01342,42.54384,-72.6058,Deerfield,MA,TRUE,1267,26.6,Franklin,18.412
01344,42.60756,-72.42916,Erving,MA,TRUE,1703,47.7,Franklin,13.793
01346,42.6706,-72.81323,Heath,MA,TRUE,454,13.1,Franklin,13.377
01347,42.56027,-72.51321,Lake Pleasant,MA,TRUE,165,178.3,Franklin,0.357
01349,42.56656,-72.47045,Millers Falls,MA,TRUE,741,29,Franklin,9.87
01351,42.54162,-72.52069,Montague,MA,TRUE,2636,51.9,Franklin,19.593
01354,42.63282,-72.51136,Gill,MA,TRUE,1740,48.9,Franklin,13.749
01355,42.45101,-72.33141,New Salem,MA,TRUE,958,7.8,Franklin,47.5
01360,42.67575,-72.446,Northfield,MA,TRUE,2872,32.3,Franklin,34.31
01364,42.60449,-72.29263,Orange,MA,TRUE,7658,82.1,Franklin,35.998
01366,42.48858,-72.18564,Petersham,MA,TRUE,1185,12.4,Worcester,36.937
01367,42.69674,-72.91387,Rowe,MA,TRUE,563,8.8,Franklin,24.571
01368,42.67815,-72.18557,Royalston,MA,TRUE,1455,12.7,Worcester,44.322
01370,42.59607,-72.72915,Shelburne Falls,MA,TRUE,3878,31.1,Franklin,48.187
01373,42.47292,-72.61516,South Deerfield,MA,TRUE,4860,81.4,Franklin,23.065
01375,42.46475,-72.55489,Sunderland,MA,TRUE,3641,99.8,Franklin,14.08
01376,42.59273,-72.54591,Turners Falls,MA,TRUE,4976,471,Franklin,4.079
01379,42.54149,-72.3989,Wendell,MA,TRUE,778,13.9,Franklin,21.579
01420,42.58559,-71.81693,Fitchburg,MA,TRUE,41839,537.4,Worcester,30.058
01430,42.66069,-71.9232,Ashburnham,MA,TRUE,6481,68.1,Worcester,36.741
01431,42.67652,-71.82322,Ashby,MA,TRUE,3211,52.4,Middlesex,23.664
01432,42.56351,-71.57059,Ayer,MA,TRUE,8521,386.2,Middlesex,8.52
01434,42.53149,-71.61663,Devens,MA,TRUE,1564,92.7,Worcester,6.512
01436,42.60579,-72.08958,Baldwinville,MA,TRUE,3720,159.7,Worcester,8.993
01438,42.56028,-72.03583,East Templeton,MA,TRUE,330,392.4,Worcester,0.325
01440,42.58797,-71.98649,Gardner,MA,TRUE,21276,335.2,Worcester,24.508
01450,42.61368,-71.56139,Groton,MA,TRUE,11356,133.8,Middlesex,32.769
01451,42.50005,-71.57754,Harvard,MA,TRUE,5487,100.7,Worcester,21.047
01452,42.48378,-72.00514,Hubbardston,MA,TRUE,4371,41.1,Worcester,41.061
01453,42.51961,-71.76583,Leominster,MA,TRUE,43851,642.3,Worcester,26.359
01460,42.53503,-71.4891,Littleton,MA,TRUE,10280,240.3,Middlesex,16.524
01462,42.58994,-71.72036,Lunenburg,MA,TRUE,11919,172.9,Worcester,26.617
01463,42.67126,-71.60429,Pepperell,MA,TRUE,11697,200,Middlesex,22.578
01464,42.57411,-71.6475,Shirley,MA,TRUE,6976,178,Middlesex,15.128
01468,42.55324,-72.06879,Templeton,MA,TRUE,4183,73.5,Worcester,21.955
01469,42.66514,-71.69161,Townsend,MA,TRUE,6820,121.8,Middlesex,21.617
01473,42.55122,-71.90266,Westminster,MA,TRUE,8374,91.2,Worcester,35.442
01474,42.67088,-71.7508,West Townsend,MA,TRUE,2280,79.4,Middlesex,11.09
01475,42.66675,-72.04902,Winchendon,MA,TRUE,10265,92.7,Worcester,42.771
01501,42.19689,-71.84549,Auburn,MA,TRUE,16877,427.1,Worcester,15.258
01503,42.38378,-71.63552,Berlin,MA,TRUE,3378,100.5,Worcester,12.972
01504,42.0399,-71.53125,Blackstone,MA,TRUE,9255,321.6,Worcester,11.111
01505,42.35633,-71.72123,Boylston,MA,TRUE,4948,119,Worcester,16.057
01506,42.19364,-72.10441,Brookfield,MA,TRUE,3460,86,Worcester,15.527
01507,42.13509,-71.96803,Charlton,MA,TRUE,13435,123,Worcester,42.18
01510,42.4119,-71.68883,Clinton,MA,TRUE,15563,1063,Worcester,5.653
01515,42.20328,-72.04669,East Brookfield,MA,TRUE,2166,84.8,Worcester,9.864
01516,42.0528,-71.75106,Douglas,MA,TRUE,9376,98.8,Worcester,36.652
01518,42.11342,-72.11632,Fiskdale,MA,TRUE,2598,82,Worcester,12.239
01519,42.20077,-71.67892,Grafton,MA,TRUE,8058,291.3,Worcester,10.68
01520,42.33685,-71.85181,Holden,MA,TRUE,16912,346.9,Worcester,18.826
01521,42.06012,-72.16592,Holland,MA,TRUE,2583,81.2,Hampden,12.282
01522,42.38142,-71.87111,Jefferson,MA,TRUE,3152,77.6,Worcester,15.685
01523,42.48176,-71.68079,Lancaster,MA,TRUE,8606,121.1,Worcester,27.431
01524,42.24919,-71.91989,Leicester,MA,TRUE,6327,153.7,Worcester,15.899
01525,42.09899,-71.64296,Linwood,MA,TRUE,0,0,Worcester,0.013
01527,42.19228,-71.77397,Millbury,MA,TRUE,13961,346,Worcester,15.578
01529,42.03906,-71.57767,Millville,MA,TRUE,3160,250.9,Worcester,4.862
01531,42.31929,-72.12794,New Braintree,MA,TRUE,973,18.1,Worcester,20.762
01532,42.32314,-71.64621,Northborough,MA,TRUE,15750,329.1,Worcester,18.472
01534,42.13991,-71.64433,Northbridge,MA,TRUE,6230,252.8,Worcester,9.515
01535,42.2695,-72.07794,North Brookfield,MA,TRUE,4760,86.4,Worcester,21.25
01536,42.23189,-71.69219,North Grafton,MA,TRUE,6860,309.4,Worcester,8.562
01537,42.16177,-71.89217,North Oxford,MA,TRUE,2278,129.2,Worcester,6.81
01540,42.11649,-71.85819,Oxford,MA,TRUE,10979,221.9,Worcester,19.103
01541,42.45649,-71.88128,Princeton,MA,TRUE,3529,38.5,Worcester,35.432
01542,42.20241,-71.90995,Rochdale,MA,TRUE,2615,239.7,Worcester,4.213
01543,42.38482,-71.96726,Rutland,MA,TRUE,9353,102.8,Worcester,35.125
01545,42.28419,-71.71558,Shrewsbury,MA,TRUE,38876,723.3,Worcester,20.762
